"","population","ReproS","Age","Year_last_seen","First_breeding_attempt","YearPop","cohortPop","lifetime_repro_output","nb_breeding_attempts","ID"
"1","Bird island",0,12,1994,"no","1991-Bird island","1979-Bird island",1,6,"ID_1"
"2","Bird island",0,11,1994,"no","1990-Bird island","1979-Bird island",1,6,"ID_1"
"3","Bird island",0,10,1994,"yes","1989-Bird island","1979-Bird island",1,6,"ID_1"
"4","Bird island",1,13,1994,"no","1992-Bird island","1979-Bird island",1,6,"ID_1"
"5","Bird island",0,15,1994,"no","1994-Bird island","1979-Bird island",1,6,"ID_1"
"6","Bird island",0,14,1994,"no","1993-Bird island","1979-Bird island",1,6,"ID_1"
"7","Bird island",0,15,1994,"no","1994-Bird island","1979-Bird island",2,6,"ID_2"
"8","Bird island",1,11,1994,"no","1990-Bird island","1979-Bird island",2,6,"ID_2"
"9","Bird island",0,13,1994,"no","1992-Bird island","1979-Bird island",2,6,"ID_2"
"10","Bird island",1,14,1994,"no","1993-Bird island","1979-Bird island",2,6,"ID_2"
"11","Bird island",0,10,1994,"yes","1989-Bird island","1979-Bird island",2,6,"ID_2"
"12","Bird island",0,12,1994,"no","1991-Bird island","1979-Bird island",2,6,"ID_2"
"13","Bird island",0,11,2014,"no","1990-Bird island","1979-Bird island",0,2,"ID_3"
"14","Bird island",0,10,2014,"yes","1989-Bird island","1979-Bird island",0,2,"ID_3"
"15","Bird island",0,10,1997,"yes","1989-Bird island","1979-Bird island",0,4,"ID_4"
"16","Bird island",0,13,1997,"no","1992-Bird island","1979-Bird island",0,4,"ID_4"
"17","Bird island",0,15,1997,"no","1994-Bird island","1979-Bird island",0,4,"ID_4"
"18","Bird island",0,11,1997,"no","1990-Bird island","1979-Bird island",0,4,"ID_4"
"19","Bird island",0,10,1989,"no","1989-Bird island","1979-Bird island",0,2,"ID_5"
"20","Bird island",0,8,1989,"yes","1987-Bird island","1979-Bird island",0,2,"ID_5"
"21","Bird island",1,31,2019,"no","2010-Bird island","1979-Bird island",9,29,"ID_6"
"22","Bird island",0,37,2019,"no","2016-Bird island","1979-Bird island",9,29,"ID_6"
"23","Bird island",0,27,2019,"no","2006-Bird island","1979-Bird island",9,29,"ID_6"
"24","Bird island",0,30,2019,"no","2009-Bird island","1979-Bird island",9,29,"ID_6"
"25","Bird island",0,20,2019,"no","1999-Bird island","1979-Bird island",9,29,"ID_6"
"26","Bird island",0,11,2019,"yes","1990-Bird island","1979-Bird island",9,29,"ID_6"
"27","Bird island",0,13,2019,"no","1992-Bird island","1979-Bird island",9,29,"ID_6"
"28","Bird island",0,29,2019,"no","2008-Bird island","1979-Bird island",9,29,"ID_6"
"29","Bird island",1,28,2019,"no","2007-Bird island","1979-Bird island",9,29,"ID_6"
"30","Bird island",0,18,2019,"no","1997-Bird island","1979-Bird island",9,29,"ID_6"
"31","Bird island",1,24,2019,"no","2003-Bird island","1979-Bird island",9,29,"ID_6"
"32","Bird island",0,39,2019,"no","2018-Bird island","1979-Bird island",9,29,"ID_6"
"33","Bird island",0,36,2019,"no","2015-Bird island","1979-Bird island",9,29,"ID_6"
"34","Bird island",1,17,2019,"no","1996-Bird island","1979-Bird island",9,29,"ID_6"
"35","Bird island",0,34,2019,"no","2013-Bird island","1979-Bird island",9,29,"ID_6"
"36","Bird island",0,21,2019,"no","2000-Bird island","1979-Bird island",9,29,"ID_6"
"37","Bird island",1,23,2019,"no","2002-Bird island","1979-Bird island",9,29,"ID_6"
"38","Bird island",0,14,2019,"no","1993-Bird island","1979-Bird island",9,29,"ID_6"
"39","Bird island",0,26,2019,"no","2005-Bird island","1979-Bird island",9,29,"ID_6"
"40","Bird island",0,19,2019,"no","1998-Bird island","1979-Bird island",9,29,"ID_6"
"41","Bird island",1,25,2019,"no","2004-Bird island","1979-Bird island",9,29,"ID_6"
"42","Bird island",0,12,2019,"no","1991-Bird island","1979-Bird island",9,29,"ID_6"
"43","Bird island",0,38,2019,"no","2017-Bird island","1979-Bird island",9,29,"ID_6"
"44","Bird island",1,32,2019,"no","2011-Bird island","1979-Bird island",9,29,"ID_6"
"45","Bird island",1,35,2019,"no","2014-Bird island","1979-Bird island",9,29,"ID_6"
